File: test2.txt
------------Properties------------
Number of cities: 51
Number of chromosomes: 500
Number of generations: 1000
Tournament candidates: 3
Crossover type: UOX with bitmask
Crossover rate: 100%
Mutation type: Scramble
Mutation rate: 0%
--------------Results-------------
Average distance of first generation: 1620.214
Average distance of last generation: 1448.5588
Best distance of first generation: 1394.783
Best distance of last generation: 1183.9829
-------Per generation stats-------
591 : Average=1461.6757Best=1230.4763
592 : Average=1461.3152Best=1230.4763
593 : Average=1462.0524Best=1230.4763
594 : Average=1464.4252Best=1230.4763
595 : Average=1464.7401Best=1230.4763
596 : Average=1462.7496Best=1230.4763
597 : Average=1464.0558Best=1230.4763
598 : Average=1466.4257Best=1230.4763
599 : Average=1462.2423Best=1230.4763
600 : Average=1462.5216Best=1230.4763
601 : Average=1453.4039Best=1230.4763
602 : Average=1464.876Best=1230.4763
603 : Average=1467.3927Best=1230.4763
604 : Average=1468.4259Best=1230.4763
605 : Average=1463.3911Best=1230.4763
606 : Average=1468.1654Best=1230.4763
607 : Average=1470.1149Best=1230.4763
608 : Average=1466.6207Best=1230.4763
609 : Average=1465.6036Best=1230.4763
610 : Average=1463.6927Best=1230.4763
611 : Average=1458.1489Best=1230.4763
612 : Average=1465.485Best=1230.4763
613 : Average=1462.8785Best=1230.4763
614 : Average=1462.9319Best=1230.4763
615 : Average=1454.7306Best=1230.4763
616 : Average=1456.367Best=1230.4763
617 : Average=1456.763Best=1230.4763
618 : Average=1461.8297Best=1230.4763
619 : Average=1463.3937Best=1230.4763
620 : Average=1458.7906Best=1230.4763
621 : Average=1456.95Best=1230.4763
622 : Average=1462.5302Best=1230.4763
623 : Average=1459.1428Best=1230.4763
624 : Average=1447.4202Best=1230.4763
625 : Average=1460.0814Best=1230.4763
626 : Average=1460.5469Best=1230.4763
627 : Average=1456.5717Best=1230.4763
628 : Average=1461.8651Best=1230.4763
629 : Average=1460.624Best=1230.4763
630 : Average=1460.6417Best=1230.4763
631 : Average=1453.995Best=1230.4763
632 : Average=1464.2983Best=1230.4763
633 : Average=1460.4216Best=1230.4763
634 : Average=1460.9Best=1230.4763
635 : Average=1454.961Best=1230.4763
636 : Average=1456.4979Best=1230.4763
637 : Average=1459.8617Best=1230.4763
638 : Average=1459.4778Best=1230.4763
639 : Average=1457.2817Best=1230.4763
640 : Average=1466.0685Best=1230.4763
641 : Average=1462.2781Best=1230.4763
642 : Average=1460.0118Best=1230.4763
643 : Average=1462.2775Best=1230.4763
644 : Average=1463.899Best=1230.4763
645 : Average=1466.2983Best=1230.4763
646 : Average=1462.5479Best=1230.4763
647 : Average=1463.0165Best=1230.4763
